"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Census Division","Census Division Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"5-14 years","5-14","Division 2: Middle Atlantic","CENS-D2","2017","2017",Suppressed,4867632,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 2: Middle Atlantic","CENS-D2","2018","2018",Suppressed,4810219,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 2: Middle Atlantic","CENS-D2","2019","2019",Suppressed,4778203,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 2: Middle Atlantic","CENS-D2","2020","2020",Suppressed,4756658,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","1999","1999",Suppressed,6624177,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2000","2000",Suppressed,6640552,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2001","2001",Suppressed,6618819,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2002","2002",Suppressed,6586905,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2003","2003",Suppressed,6545772,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2004","2004",Suppressed,6492622,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2005","2005",Suppressed,6415776,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2006","2006",Suppressed,6367173,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2007","2007",Suppressed,6312021,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2008","2008",Suppressed,6266765,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2009","2009",Suppressed,6239950,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2010","2010",Suppressed,6215977,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2011","2011",Suppressed,6158014,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2012","2012",Suppressed,6129800,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2013","2013",Suppressed,6094425,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2014","2014",Suppressed,6038966,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2015","2015",Suppressed,5973873,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2016","2016",Suppressed,5910374,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2017","2017",Suppressed,5874441,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2018","2018",Suppressed,5847098,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2019","2019",Suppressed,5805725,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 3: East North Central","CENS-D3","2020","2020",Suppressed,5776578,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","1999","1999",0,2816687,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2000","2000",0,2811383,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2001","2001",0,2791318,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2002","2002",Suppressed,2772016,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2003","2003",Suppressed,2754506,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2004","2004",Suppressed,2736313,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2005","2005",Suppressed,2713274,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2006","2006",Suppressed,2708177,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2007","2007",Suppressed,2705066,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2008","2008",Suppressed,2711202,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2009","2009",Suppressed,2725920,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2010","2010",Suppressed,2739138,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2011","2011",Suppressed,2743769,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2012","2012",Suppressed,2760194,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2013","2013",Suppressed,2778751,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2014","2014",Suppressed,2782446,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2015","2015",Suppressed,2782318,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2016","2016",Suppressed,2779995,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2017","2017",Suppressed,2789502,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2018","2018",0,2794039,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2019","2019",Suppressed,2794351,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 4: West North Central","CENS-D4","2020","2020",Suppressed,2796091,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","1999","1999",Suppressed,7104313,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2000","2000",Suppressed,7180041,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2001","2001",Suppressed,7238979,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2002","2002",Suppressed,7281031,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2003","2003",Suppressed,7304710,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2004","2004",Suppressed,7328508,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2005","2005",Suppressed,7347449,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2006","2006",11,7416932,Unreliable,0.1,0.3,0.0
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2007","2007",Suppressed,7465624,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2008","2008",10,7502680,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2009","2009",Suppressed,7552644,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2010","2010",Suppressed,7604710,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2011","2011",10,7635310,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2012","2012",Suppressed,7693953,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2013","2013",Suppressed,7733639,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2014","2014",Suppressed,7764544,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2015","2015",10,7780691,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2016","2016",Suppressed,7797281,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2017","2017",Suppressed,7836868,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2018","2018",Suppressed,7872903,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2019","2019",Suppressed,7883423,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 5: South Atlantic","CENS-D5","2020","2020",10,7921122,Unreliable,0.1,0.2,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","1999","1999",0,2408608,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2000","2000",0,2420966,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2001","2001",Suppressed,2413406,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2002","2002",Suppressed,2408765,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2003","2003",Suppressed,2410972,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2004","2004",0,2406992,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2005","2005",Suppressed,2404627,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2006","2006",0,2418186,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2007","2007",Suppressed,2421922,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2008","2008",Suppressed,2428500,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2009","2009",0,2434780,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2010","2010",Suppressed,2439968,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2011","2011",0,2441843,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2012","2012",Suppressed,2452233,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2013","2013",0,2450982,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2014","2014",0,2441693,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2015","2015",Suppressed,2424848,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2016","2016",Suppressed,2413434,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2017","2017",Suppressed,2413731,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2018","2018",0,2413257,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2019","2019",Suppressed,2409223,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 6: East South Central","CENS-D6","2020","2020",Suppressed,2409017,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","1999","1999",Suppressed,4822687,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2000","2000",Suppressed,4846781,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2001","2001",Suppressed,4859042,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2002","2002",Suppressed,4870912,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2003","2003",Suppressed,4888301,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2004","2004",Suppressed,4901717,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2005","2005",Suppressed,4921014,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2006","2006",Suppressed,4966553,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2007","2007",Suppressed,5047351,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2008","2008",0,5134177,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2009","2009",Suppressed,5244990,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2010","2010",Suppressed,5330751,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2011","2011",Suppressed,5405858,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2012","2012",Suppressed,5458074,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2013","2013",Suppressed,5510711,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2014","2014",Suppressed,5551506,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2015","2015",0,5589525,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2016","2016",Suppressed,5613773,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2017","2017",Suppressed,5649763,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2018","2018",Suppressed,5680068,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2019","2019",Suppressed,5705899,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 7: West South Central","CENS-D7","2020","2020",Suppressed,5746660,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","1999","1999",0,2715108,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2000","2000",Suppressed,2759449,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2001","2001",Suppressed,2788810,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2002","2002",Suppressed,2808645,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2003","2003",Suppressed,2822489,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2004","2004",Suppressed,2846289,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2005","2005",Suppressed,2879734,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2006","2006",Suppressed,2937802,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2007","2007",Suppressed,2995519,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2008","2008",Suppressed,3051612,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2009","2009",Suppressed,3107070,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2010","2010",Suppressed,3145580,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2011","2011",Suppressed,3172271,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2012","2012",Suppressed,3199127,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2013","2013",Suppressed,3229353,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2014","2014",Suppressed,3246303,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2015","2015",Suppressed,3259504,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2016","2016",Suppressed,3256944,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2017","2017",Suppressed,3269442,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2018","2018",0,3290506,Unreliable,0.0,0.0,0.0
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2019","2019",Suppressed,3293189,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 8: Mountain","CENS-D8","2020","2020",11,3302712,Unreliable,0.2,0.6,0.1
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","1999","1999",Suppressed,6859769,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2000","2000",Suppressed,6912537,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2001","2001",Suppressed,6950168,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2002","2002",Suppressed,6953188,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2003","2003",Suppressed,6929545,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2004","2004",Suppressed,6878720,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2005","2005",Suppressed,6784027,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2006","2006",Suppressed,6727011,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2007","2007",Suppressed,6661672,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2008","2008",Suppressed,6651637,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2009","2009",Suppressed,6675495,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2010","2010",Suppressed,6711249,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2011","2011",Suppressed,6709826,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2012","2012",Suppressed,6710290,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2013","2013",Suppressed,6726212,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2014","2014",Suppressed,6720034,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2015","2015",Suppressed,6711644,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2016","2016",Suppressed,6721941,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2017","2017",Suppressed,6733315,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2018","2018",Suppressed,6729020,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2019","2019",Suppressed,6703542,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Division 9: Pacific","CENS-D9","2020","2020",19,6674663,Unreliable,0.2,0.4,0.1
,"15-24 years","15-24","Division 1: New England","CENS-D1","1999","1999",62,1740564,3.6,2.7,4.6,0.5
,"15-24 years","15-24","Division 1: New England","CENS-D1","2000","2000",64,1769689,3.6,2.8,4.6,0.5
,"15-24 years","15-24","Division 1: New England","CENS-D1","2001","2001",99,1820545,5.4,4.4,6.6,0.5
,"15-24 years","15-24","Division 1: New England","CENS-D1","2002","2002",118,1859665,6.3,5.2,7.5,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2003","2003",131,1895949,6.9,5.7,8.1,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2004","2004",134,1923167,7.0,5.8,8.1,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2005","2005",137,1957816,7.0,5.8,8.2,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2006","2006",151,1986366,7.6,6.4,8.8,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2007","2007",143,2000334,7.1,6.0,8.3,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2008","2008",124,2009282,6.2,5.1,7.3,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2009","2009",132,2018752,6.5,5.4,7.7,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2010","2010",104,2015354,5.2,4.2,6.2,0.5
,"15-24 years","15-24","Division 1: New England","CENS-D1","2011","2011",138,2011799,6.9,5.7,8.0,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2012","2012",115,2016616,5.7,4.7,6.7,0.5
,"15-24 years","15-24","Division 1: New England","CENS-D1","2013","2013",163,2018597,8.1,6.8,9.3,0.6
,"15-24 years","15-24","Division 1: New England","CENS-D1","2014","2014",204,2031412,10.0,8.7,11.4,0.7
,"15-24 years","15-24","Division 1: New England","CENS-D1","2015","2015",304,2030699,15.0,13.3,16.7,0.9
,"15-24 years","15-24","Division 1: New England","CENS-D1","2016","2016",328,2026456,16.2,14.4,17.9,0.9
,"15-24 years","15-24","Division 1: New England","CENS-D1","2017","2017",314,2013551,15.6,13.9,17.3,0.9
,"15-24 years","15-24","Division 1: New England","CENS-D1","2018","2018",244,1998241,12.2,10.7,13.7,0.8
,"15-24 years","15-24","Division 1: New England","CENS-D1","2019","2019",246,1971241,12.5,10.9,14.0,0.8
,"15-24 years","15-24","Division 1: New England","CENS-D1","2020","2020",267,1950127,13.7,12.0,15.3,0.8
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","1999","1999",105,5094351,2.1,1.7,2.5,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2000","2000",110,5134220,2.1,1.7,2.5,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2001","2001",138,5234507,2.6,2.2,3.1,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2002","2002",152,5301915,2.9,2.4,3.3,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2003","2003",168,5374305,3.1,2.7,3.6,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2004","2004",158,5433507,2.9,2.5,3.4,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2005","2005",180,5501336,3.3,2.8,3.7,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2006","2006",221,5560483,4.0,3.5,4.5,0.3
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2007","2007",194,5611255,3.5,3.0,3.9,0.2
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2008","2008",267,5648024,4.7,4.2,5.3,0.3
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2009","2009",216,5681763,3.8,3.3,4.3,0.3
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2010","2010",281,5695762,4.9,4.4,5.5,0.3
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2011","2011",344,5664865,6.1,5.4,6.7,0.3
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2012","2012",350,5652869,6.2,5.5,6.8,0.3
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2013","2013",409,5594286,7.3,6.6,8.0,0.4
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2014","2014",452,5562391,8.1,7.4,8.9,0.4
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2015","2015",508,5501778,9.2,8.4,10.0,0.4
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2016","2016",716,5434094,13.2,12.2,14.1,0.5
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2017","2017",722,5371584,13.4,12.5,14.4,0.5
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2018","2018",625,5224824,12.0,11.0,12.9,0.5
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2019","2019",504,5142009,9.8,8.9,10.7,0.4
,"15-24 years","15-24","Division 2: Middle Atlantic","CENS-D2","2020","2020",652,5064617,12.9,11.9,13.9,0.5
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","1999","1999",84,6263627,1.3,1.1,1.7,0.1
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2000","2000",100,6298047,1.6,1.3,1.9,0.2
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2001","2001",129,6409471,2.0,1.7,2.4,0.2
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2002","2002",144,6463556,2.2,1.9,2.6,0.2
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2003","2003",180,6516421,2.8,2.4,3.2,0.2
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2004","2004",238,6551519,3.6,3.2,4.1,0.2
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2005","2005",265,6571901,4.0,3.5,4.5,0.2
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2006","2006",312,6578509,4.7,4.2,5.3,0.3
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2007","2007",329,6568955,5.0,4.5,5.5,0.3
,"15-24 years","15-24","Division 3: East North Central","CENS-D3","2008","2008",368,6553030,5.6,5.0,6.2,0.3
