"Notes","Census Region","Census Region Code","Year","Year Code","Month","Month Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","24 years","24",29,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","25 years","25",31,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","26 years","26",40,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","27 years","27",47,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","28 years","28",37,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","29 years","29",45,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","30 years","30",48,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","31 years","31",55,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","32 years","32",69,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","33 years","33",63,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","34 years","34",68,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","35 years","35",79,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","36 years","36",98,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","37 years","37",97,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","38 years","38",129,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","39 years","39",113,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","40 years","40",92,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","41 years","41",143,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","42 years","42",129,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","43 years","43",173,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","44 years","44",172,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","45 years","45",179,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","46 years","46",197,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","47 years","47",202,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","48 years","48",215,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","49 years","49",219,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","50 years","50",264,Not Applicable,Not Applicable
