Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,40-44 years,40-44,Female,F,271,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,40-44 years,40-44,Male,M,587,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,45-49 years,45-49,Female,F,340,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,45-49 years,45-49,Male,M,670,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,50-54 years,50-54,Female,F,499,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,50-54 years,50-54,Male,M,799,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,15-19 years,15-19,Female,F,60,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,15-19 years,15-19,Male,M,128,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,20-24 years,20-24,Female,F,51,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,20-24 years,20-24,Male,M,196,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,25-29 years,25-29,Female,F,62,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,25-29 years,25-29,Male,M,179,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,30-34 years,30-34,Female,F,102,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,30-34 years,30-34,Male,M,208,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,35-39 years,35-39,Female,F,208,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,35-39 years,35-39,Male,M,366,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,40-44 years,40-44,Female,F,332,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,40-44 years,40-44,Male,M,463,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,45-49 years,45-49,Female,F,347,Not Applicable,Not Applicable
