"Region","Sex","Age","Age.Group.Code","Year","Deaths","n_months","Population","Rate","socio_score","rate_health_care_coverage_ccf","rate_alochol_consum_ccf","Total_Population"
"Northeast","Male",45,"45-49",2007,633,12,2120979,0.000298447085048933,125.771120400338,-0.151773272696795,1.16585153847028,54879379
"Northeast","Male",45,"45-49",2008,688,12,2111776,0.000325792129468277,125.771120400338,0.464069363482404,-1.40431278068639,55060196
"Northeast","Male",45,"45-49",2009,618,12,2108106,0.000293154139307985,125.771120400338,-0.559609904358339,1.68615866265262,55283679
"Northeast","Male",45,"45-49",2010,613,12,2085175,0.00029398012157253,125.872096176182,0.250399134917629,0.146314253686235,55380134
"Northeast","Male",45,"45-49",2011,709,12,2043379,0.000346974300900616,125.872096176182,-2.98179070807511,1.3280482825167,55604223
"Northeast","Male",45,"45-49",2012,711,12,1997645,0.000355919094734049,125.872096176182,2.47129862918953,-4.31312093356184,55775216
"Northeast","Male",45,"45-49",2013,750,12,1946243,0.000385357840721842,125.872096176182,0.655100850451618,1.46479695364015,55901806
"Northeast","Male",45,"45-49",2014,779,12,1895254,0.000411026701434214,125.872096176182,1.69914076014452,-0.142074217958772,56006011
"Northeast","Male",45,"45-49",2015,874,12,1863214,0.000469081919736541,124.60635816588,-0.684680652872487,1.06210397477298,56034684
"Northeast","Male",45,"45-49",2016,1119,12,1840838,0.000607875326345936,124.60635816588,-0.907436288035029,1.90920956550674,56042330
"Northeast","Male",45,"45-49",2017,1267,12,1806718,0.00070127158748626,124.60635816588,-0.863494230134961,-2.71904656347905,56059240
"Northeast","Male",45,"45-49",2018,1262,12,1758848,0.000717515100793247,124.60635816588,-0.302997954803857,-0.0212361157716003,56046620
"Northeast","Male",45,"45-49",2019,1146,12,1704101,0.000672495350921101,124.60635816588,0.342030849435545,0.167758805783961,55982803
"Northeast","Male",50,"50-54",2005,429,12,1856327,0.000231101524677495,125.771120400338,0.0392163002208562,0.0263865683319368,54598185
"Northeast","Male",50,"50-54",2006,540,12,1895756,0.000284846784079808,125.771120400338,-0.116796849015725,-0.0811040006760612,54710026
"Northeast","Male",50,"50-54",2007,542,12,1942045,0.000279087250810357,125.771120400338,-0.151773272696795,1.16585153847028,54879379
"Northeast","Male",50,"50-54",2008,560,12,1990232,0.000281374231747857,125.771120400338,0.464069363482404,-1.40431278068639,55060196
"Northeast","Male",50,"50-54",2009,485,12,2028419,0.000239102473404164,125.771120400338,-0.559609904358339,1.68615866265262,55283679
"Northeast","Male",50,"50-54",2010,518,12,2059593,0.000251506001428438,125.872096176182,0.250399134917629,0.146314253686235,55380134
"Northeast","Male",50,"50-54",2011,633,12,2076348,0.000304862190731034,125.872096176182,-2.98179070807511,1.3280482825167,55604223
"Northeast","Male",50,"50-54",2012,703,12,2070597,0.000339515608300408,125.872096176182,2.47129862918953,-4.31312093356184,55775216
"Northeast","Male",50,"50-54",2013,713,12,2059697,0.000346167421713,125.872096176182,0.655100850451618,1.46479695364015,55901806
"Northeast","Male",50,"50-54",2014,778,12,2048398,0.000379809001961533,125.872096176182,1.69914076014452,-0.142074217958772,56006011
"Northeast","Male",50,"50-54",2015,896,12,2020242,0.000443511222912899,124.60635816588,-0.684680652872487,1.06210397477298,56034684
"Northeast","Male",50,"50-54",2016,1212,12,1974197,0.000613920495269722,124.60635816588,-0.907436288035029,1.90920956550674,56042330
"Northeast","Male",50,"50-54",2017,1413,12,1925350,0.00073389253901888,124.60635816588,-0.863494230134961,-2.71904656347905,56059240
"Northeast","Male",50,"50-54",2018,1226,12,1871813,0.000654979957933832,124.60635816588,-0.302997954803857,-0.0212361157716003,56046620
"Northeast","Male",50,"50-54",2019,1317,12,1820277,0.00072351625604235,124.60635816588,0.342030849435545,0.167758805783961,55982803
"South","Female",15,"15-19",2005,76,12,3755168,2.02387749363011e-05,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",15,"15-19",2006,99,12,3829111,2.58545651980316e-05,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",15,"15-19",2007,96,12,3895881,2.46414097350509e-05,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",15,"15-19",2008,84,12,3943000,2.13035759573928e-05,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",15,"15-19",2009,77,12,3960040,1.94442480378986e-05,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",15,"15-19",2010,107,12,3932166,2.72114656400569e-05,109.353100482642,0.845943519749667,0.533433528433129,114866680
"South","Female",15,"15-19",2011,101,12,3868859,2.61058880667401e-05,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",15,"15-19",2012,66,12,3833886,1.72149093635022e-05,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",15,"15-19",2013,69,12,3828199,1.80241413782303e-05,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",15,"15-19",2014,74,12,3836082,1.92905156876209e-05,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",15,"15-19",2015,94,12,3878546,2.42358863347244e-05,110.532651392005,-0.610919066586987,0.77193310236084,120997341
"South","Female",15,"15-19",2016,117,12,3924044,2.98161794312194e-05,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",15,"15-19",2017,107,12,3945485,2.71196063348359e-05,110.532651392005,-1.44676045252743,0.103453677669997,123542189
"South","Female",15,"15-19",2018,94,12,3959077,2.37429077534991e-05,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",15,"15-19",2019,106,12,3972572,2.66829650916333e-05,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Female",20,"20-24",2005,226,12,3768141,5.99765242330369e-05,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",20,"20-24",2006,265,12,3772372,7.02475789768347e-05,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",20,"20-24",2007,302,12,3800421,7.94648803382573e-05,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",20,"20-24",2008,265,12,3834281,6.91133487608237e-05,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",20,"20-24",2009,281,12,3885583,7.23186198827821e-05,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",20,"20-24",2010,301,12,3961818,7.59752214766049e-05,109.353100482642,0.845943519749667,0.533433528433129,114866680
