Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,100+ years,100+,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,< 1 year,1,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,1-4 years,1-4,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,5-9 years,5-9,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,10-14 years,10-14,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,20-24 years,20-24,16,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,25-29 years,25-29,24,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,30-34 years,30-34,59,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,35-39 years,35-39,69,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,40-44 years,40-44,82,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,45-49 years,45-49,43,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,50-54 years,50-54,31,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,55-59 years,55-59,12,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,60-64 years,60-64,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
