Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,5-14 years,5-14,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,15-24 years,15-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,25-34 years,25-34,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,35-44 years,35-44,25,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,45-54 years,45-54,24,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,5-14 years,5-14,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,15-24 years,15-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,25-34 years,25-34,18,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,35-44 years,35-44,33,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,45-54 years,45-54,18,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Apr., 2000",2000/04,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,5-14 years,5-14,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,15-24 years,15-24,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,25-34 years,25-34,15,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,35-44 years,35-44,43,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,45-54 years,45-54,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"May, 2000",2000/05,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,5-14 years,5-14,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,15-24 years,15-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,25-34 years,25-34,18,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,35-44 years,35-44,36,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,45-54 years,45-54,22,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,55-64 years,55-64,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jun., 2000",2000/06,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
