Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,30-34 years,30-34,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,35-39 years,35-39,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,40-44 years,40-44,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,45-49 years,45-49,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,20-24 years,20-24,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,30-34 years,30-34,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,35-39 years,35-39,16,Not Applicable,Not Applicable
