"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","15-24 years","15-24",14,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","25-34 years","25-34",35,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","35-44 years","35-44",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","45-54 years","45-54",50,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","55-64 years","55-64",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","65-74 years","65-74",11,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jan., 2012","2012/01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","25-34 years","25-34",33,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","35-44 years","35-44",37,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","45-54 years","45-54",52,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","55-64 years","55-64",23,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","75-84 years","75-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Feb., 2012","2012/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","15-24 years","15-24",17,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","25-34 years","25-34",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","35-44 years","35-44",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","45-54 years","45-54",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","55-64 years","55-64",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Mar., 2012","2012/03","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","15-24 years","15-24",13,Not Applicable,Not Applicable
