"Notes","Single-Year Ages","Single-Year Ages Code","Census Region","Census Region Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"32 years","32","Census Region 3: South","CENS-R3",2709,1667524,162.5,156.3,168.6,3.1
,"32 years","32","Census Region 4: West","CENS-R4",1222,1126652,108.5,102.4,114.5,3.1
,"33 years","33","Census Region 1: Northeast","CENS-R1",1069,753586,141.9,133.4,150.4,4.3
,"33 years","33","Census Region 2: Midwest","CENS-R2",1339,895434,149.5,141.5,157.5,4.1
,"33 years","33","Census Region 3: South","CENS-R3",2738,1680368,162.9,156.8,169.0,3.1
,"33 years","33","Census Region 4: West","CENS-R4",1332,1131858,117.7,111.4,124.0,3.2
,"34 years","34","Census Region 1: Northeast","CENS-R1",1044,721355,144.7,135.9,153.5,4.5
,"34 years","34","Census Region 2: Midwest","CENS-R2",1404,865835,162.2,153.7,170.6,4.3
,"34 years","34","Census Region 3: South","CENS-R3",2742,1633020,167.9,161.6,174.2,3.2
,"34 years","34","Census Region 4: West","CENS-R4",1357,1097982,123.6,117.0,130.2,3.4
,"35 years","35","Census Region 1: Northeast","CENS-R1",1104,724908,152.3,143.3,161.3,4.6
,"35 years","35","Census Region 2: Midwest","CENS-R2",1537,881114,174.4,165.7,183.2,4.4
,"35 years","35","Census Region 3: South","CENS-R3",2983,1661682,179.5,173.1,186.0,3.3
,"35 years","35","Census Region 4: West","CENS-R4",1466,1108697,132.2,125.5,139.0,3.5
,"36 years","36","Census Region 1: Northeast","CENS-R1",1112,720570,154.3,145.3,163.4,4.6
,"36 years","36","Census Region 2: Midwest","CENS-R2",1588,884906,179.5,170.6,188.3,4.5
,"36 years","36","Census Region 3: South","CENS-R3",2976,1658824,179.4,173.0,185.8,3.3
,"36 years","36","Census Region 4: West","CENS-R4",1529,1102623,138.7,131.7,145.6,3.5
,"37 years","37","Census Region 1: Northeast","CENS-R1",1119,706583,158.4,149.1,167.6,4.7
,"37 years","37","Census Region 2: Midwest","CENS-R2",1617,878919,184.0,175.0,192.9,4.6
,"37 years","37","Census Region 3: South","CENS-R3",3210,1646399,195.0,188.2,201.7,3.4
,"37 years","37","Census Region 4: West","CENS-R4",1517,1081185,140.3,133.2,147.4,3.6
,"38 years","38","Census Region 1: Northeast","CENS-R1",1180,721870,163.5,154.1,172.8,4.8
,"38 years","38","Census Region 2: Midwest","CENS-R2",1652,895723,184.4,175.5,193.3,4.5
,"38 years","38","Census Region 3: South","CENS-R3",3398,1678880,202.4,195.6,209.2,3.5
,"38 years","38","Census Region 4: West","CENS-R4",1605,1094933,146.6,139.4,153.8,3.7
,"39 years","39","Census Region 1: Northeast","CENS-R1",1242,681361,182.3,172.1,192.4,5.2
,"39 years","39","Census Region 2: Midwest","CENS-R2",1662,839818,197.9,188.4,207.4,4.9
,"39 years","39","Census Region 3: South","CENS-R3",3495,1576419,221.7,214.4,229.1,3.8
,"39 years","39","Census Region 4: West","CENS-R4",1625,1018173,159.6,151.8,167.4,4.0
,"40 years","40","Census Region 1: Northeast","CENS-R1",1152,667857,172.5,162.5,182.5,5.1
,"40 years","40","Census Region 2: Midwest","CENS-R2",1710,818142,209.0,199.1,218.9,5.1
,"40 years","40","Census Region 3: South","CENS-R3",3462,1548541,223.6,216.1,231.0,3.8
,"40 years","40","Census Region 4: West","CENS-R4",1583,996774,158.8,151.0,166.6,4.0
,"41 years","41","Census Region 1: Northeast","CENS-R1",1273,658564,193.3,182.7,203.9,5.4
,"41 years","41","Census Region 2: Midwest","CENS-R2",1688,804383,209.9,199.8,219.9,5.1
,"41 years","41","Census Region 3: South","CENS-R3",3582,1539271,232.7,225.1,240.3,3.9
,"41 years","41","Census Region 4: West","CENS-R4",1642,983938,166.9,158.8,175.0,4.1
,"42 years","42","Census Region 1: Northeast","CENS-R1",1231,642646,191.6,180.9,202.3,5.5
