Census Division Code,Month Code,Sex Code,Age Group Code,Deaths,Year,Census Division,Age Groups
CENS-D1,2006/12,F,1-4,0,2006,Division 1: New England,1-4 years
CENS-D1,2007/01,F,1-4,Suppressed,2007,Division 1: New England,1-4 years
CENS-D1,2007/02,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/03,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/04,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/05,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/06,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/07,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/08,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/09,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/10,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/11,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2007/12,F,1-4,0,2007,Division 1: New England,1-4 years
CENS-D1,2008/01,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/02,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/03,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/04,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/05,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/06,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/07,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/08,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/09,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/10,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/11,F,1-4,0,2008,Division 1: New England,1-4 years
CENS-D1,2008/12,F,1-4,0,2008,Division 1: New England,1-4 years
