"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"40-44 years","40-44","2007","2007",2621,21832339,12.0,11.5,12.5,0.2
,"40-44 years","40-44","2008","2008",2554,21375023,11.9,11.5,12.4,0.2
,"40-44 years","40-44","2009","2009",2596,20980015,12.4,11.9,12.8,0.2
,"40-44 years","40-44","2010","2010",2511,20890964,12.0,11.5,12.5,0.2
,"40-44 years","40-44","2011","2011",2684,21033645,12.8,12.3,13.2,0.2
,"40-44 years","40-44","2012","2012",2625,21028221,12.5,12.0,13.0,0.2
,"40-44 years","40-44","2013","2013",2783,20848920,13.3,12.9,13.8,0.3
,"40-44 years","40-44","2014","2014",3132,20591483,15.2,14.7,15.7,0.3
,"40-44 years","40-44","2015","2015",3494,20215198,17.3,16.7,17.9,0.3
,"40-44 years","40-44","2016","2016",4341,19696251,22.0,21.4,22.7,0.3
,"40-44 years","40-44","2017","2017",4841,19643373,24.6,24.0,25.3,0.4
,"40-44 years","40-44","2018","2018",4963,19714301,25.2,24.5,25.9,0.4
,"40-44 years","40-44","2019","2019",5459,19921623,27.4,26.7,28.1,0.4
,"40-44 years","40-44","2020","2020",7862,20307888,38.7,37.9,39.6,0.4
,"45-49 years","45-49","1999","1999",1374,19654207,7.0,6.6,7.4,0.2
,"45-49 years","45-49","2000","2000",1485,20092404,7.4,7.0,7.8,0.2
,"45-49 years","45-49","2001","2001",1660,20698983,8.0,7.6,8.4,0.2
,"45-49 years","45-49","2002","2002",2073,21252288,9.8,9.3,10.2,0.2
,"45-49 years","45-49","2003","2003",2339,21722676,10.8,10.3,11.2,0.2
,"45-49 years","45-49","2004","2004",2448,22065262,11.1,10.7,11.5,0.2
,"45-49 years","45-49","2005","2005",2676,22417171,11.9,11.5,12.4,0.2
,"45-49 years","45-49","2006","2006",3028,22715286,13.3,12.9,13.8,0.2
,"45-49 years","45-49","2007","2007",3020,22799761,13.2,12.8,13.7,0.2
,"45-49 years","45-49","2008","2008",3149,22820973,13.8,13.3,14.3,0.2
,"45-49 years","45-49","2009","2009",3253,22862245,14.2,13.7,14.7,0.2
,"45-49 years","45-49","2010","2010",3059,22708591,13.5,13.0,13.9,0.2
,"45-49 years","45-49","2011","2011",3199,22158005,14.4,13.9,14.9,0.3
,"45-49 years","45-49","2012","2012",3157,21689479,14.6,14.0,15.1,0.3
,"45-49 years","45-49","2013","2013",3122,21208306,14.7,14.2,15.2,0.3
,"45-49 years","45-49","2014","2014",3343,20888042,16.0,15.5,16.5,0.3
,"45-49 years","45-49","2015","2015",3712,20853844,17.8,17.2,18.4,0.3
,"45-49 years","45-49","2016","2016",4494,20947623,21.5,20.8,22.1,0.3
,"45-49 years","45-49","2017","2017",5080,20973858,24.2,23.6,24.9,0.3
,"45-49 years","45-49","2018","2018",4826,20747135,23.3,22.6,23.9,0.3
,"45-49 years","45-49","2019","2019",4956,20397751,24.3,23.6,25.0,0.3
,"45-49 years","45-49","2020","2020",6708,19970606,33.6,32.8,34.4,0.4
,"50-54 years","50-54","1999","1999",611,16923612,3.6,3.3,3.9,0.1
,"50-54 years","50-54","2000","2000",698,17585548,4.0,3.7,4.3,0.2
,"50-54 years","50-54","2001","2001",920,18687285,4.9,4.6,5.2,0.2
,"50-54 years","50-54","2002","2002",1286,18739906,6.9,6.5,7.2,0.2
,"50-54 years","50-54","2003","2003",1418,19097278,7.4,7.0,7.8,0.2
,"50-54 years","50-54","2004","2004",1553,19564668,7.9,7.5,8.3,0.2
,"50-54 years","50-54","2005","2005",1861,20078733,9.3,8.8,9.7,0.2
,"50-54 years","50-54","2006","2006",2266,20570873,11.0,10.6,11.5,0.2
,"50-54 years","50-54","2007","2007",2455,21140178,11.6,11.2,12.1,0.2
,"50-54 years","50-54","2008","2008",2725,21639474,12.6,12.1,13.1,0.2
,"50-54 years","50-54","2009","2009",2769,22004843,12.6,12.1,13.1,0.2
