"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"25-34 years","25-34","Female","F","2008","2008",1051,20019411,5.2,4.9,5.6,0.2
,"25-34 years","25-34","Female","F","2009","2009",1176,20267430,5.8,5.5,6.1,0.2
,"25-34 years","25-34","Female","F","2010","2010",1340,20431857,6.6,6.2,6.9,0.2
,"25-34 years","25-34","Female","F","2011","2011",1516,20746335,7.3,6.9,7.7,0.2
,"25-34 years","25-34","Female","F","2012","2012",1617,20970529,7.7,7.3,8.1,0.2
,"25-34 years","25-34","Female","F","2013","2013",1643,21203096,7.7,7.4,8.1,0.2
,"25-34 years","25-34","Female","F","2014","2014",1892,21546290,8.8,8.4,9.2,0.2
,"25-34 years","25-34","Female","F","2015","2015",2284,21838064,10.5,10.0,10.9,0.2
,"25-34 years","25-34","Female","F","2016","2016",3116,22077505,14.1,13.6,14.6,0.3
,"25-34 years","25-34","Female","F","2017","2017",3592,22351311,16.1,15.5,16.6,0.3
,"25-34 years","25-34","Female","F","2018","2018",3604,22487065,16.0,15.5,16.6,0.3
,"25-34 years","25-34","Female","F","2019","2019",3763,22581141,16.7,16.1,17.2,0.3
,"25-34 years","25-34","Female","F","2020","2020",4987,22625267,22.0,21.4,22.7,0.3
"Total","25-34 years","25-34","Female","F",,,37598,455931186,8.2,8.2,8.3,0.0
,"25-34 years","25-34","Male","M","1999","1999",1274,20233316,6.3,6.0,6.6,0.2
,"25-34 years","25-34","Male","M","2000","2000",1247,20120529,6.2,5.9,6.5,0.2
,"25-34 years","25-34","Male","M","2001","2001",1312,19904479,6.6,6.2,6.9,0.2
,"25-34 years","25-34","Male","M","2002","2002",1618,19830867,8.2,7.8,8.6,0.2
,"25-34 years","25-34","Male","M","2003","2003",1766,19742873,8.9,8.5,9.4,0.2
,"25-34 years","25-34","Male","M","2004","2004",1864,19746331,9.4,9.0,9.9,0.2
,"25-34 years","25-34","Male","M","2005","2005",2067,19710949,10.5,10.0,10.9,0.2
,"25-34 years","25-34","Male","M","2006","2006",2581,19768839,13.1,12.6,13.6,0.3
,"25-34 years","25-34","Male","M","2007","2007",2768,19924870,13.9,13.4,14.4,0.3
,"25-34 years","25-34","Male","M","2008","2008",2975,20188062,14.7,14.2,15.3,0.3
,"25-34 years","25-34","Male","M","2009","2009",3184,20455912,15.6,15.0,16.1,0.3
,"25-34 years","25-34","Male","M","2010","2010",3335,20632091,16.2,15.6,16.7,0.3
,"25-34 years","25-34","Male","M","2011","2011",3768,21044163,17.9,17.3,18.5,0.3
,"25-34 years","25-34","Male","M","2012","2012",3802,21338792,17.8,17.3,18.4,0.3
,"25-34 years","25-34","Male","M","2013","2013",4268,21641491,19.7,19.1,20.3,0.3
,"25-34 years","25-34","Male","M","2014","2014",5136,21970214,23.4,22.7,24.0,0.3
,"25-34 years","25-34","Male","M","2015","2015",6284,22299138,28.2,27.5,28.9,0.4
,"25-34 years","25-34","Male","M","2016","2016",8436,22599738,37.3,36.5,38.1,0.4
,"25-34 years","25-34","Male","M","2017","2017",9589,22991361,41.7,40.9,42.5,0.4
,"25-34 years","25-34","Male","M","2018","2018",9235,23210709,39.8,39.0,40.6,0.4
,"25-34 years","25-34","Male","M","2019","2019",9546,23359180,40.9,40.0,41.7,0.4
,"25-34 years","25-34","Male","M","2020","2020",13252,23444379,56.5,55.6,57.5,0.5
"Total","25-34 years","25-34","Male","M",,,99307,464158283,21.4,21.3,21.5,0.1
"Total","25-34 years","25-34",,,,,136905,920089469,14.9,14.8,15.0,0.0
,"35-44 years","35-44","Female","F","1999","1999",798,22669604,3.5,3.3,3.8,0.1
,"35-44 years","35-44","Female","F","2000","2000",873,22700729,3.8,3.6,4.1,0.1
,"35-44 years","35-44","Female","F","2001","2001",1046,22642429,4.6,4.3,4.9,0.1
,"35-44 years","35-44","Female","F","2002","2002",1371,22439455,6.1,5.8,6.4,0.2
,"35-44 years","35-44","Female","F","2003","2003",1382,22206703,6.2,5.9,6.6,0.2
,"35-44 years","35-44","Female","F","2004","2004",1497,22015734,6.8,6.5,7.1,0.2
,"35-44 years","35-44","Female","F","2005","2005",1515,21865343,6.9,6.6,7.3,0.2
,"35-44 years","35-44","Female","F","2006","2006",1608,21727611,7.4,7.0,7.8,0.2
,"35-44 years","35-44","Female","F","2007","2007",1683,21502002,7.8,7.5,8.2,0.2
