Census_Division,Year,rate_health_care_coverage,rate_alochol_consum,socio_score,rate_health_care_coverage_pw,rate_alochol_consum_pw
Pacific,2010,82.96715729952817,54.441240804698154,121.42318328877744,-0.5578305359866675,0.2794906724759372
Pacific,2011,81.85991062499909,57.29120337248802,121.42318328877744,-1.1072466745290797,2.8499625677898663
Pacific,2012,79.62103811421191,56.038788277736245,121.42318328877744,-2.238872510787175,-1.2524150947517754
Pacific,2013,82.82407069790699,56.183403572577234,121.42318328877744,3.2030325836950766,0.1446152948409889
Pacific,2014,86.22992075716867,54.79053099106644,121.42318328877744,3.405850059261681,-1.3928725815107939
Pacific,2015,89.11643555077474,54.98509397890933,126.26255362293364,2.886514793606068,0.19456298784289316
Pacific,2016,89.71899458087563,54.83710346711026,126.26255362293364,0.6025590301008918,-0.14799051179907252
Pacific,2017,89.81004519587715,57.2222197494623,126.26255362293364,0.0910506150015209,2.385116282352037
Pacific,2018,89.02596048708743,54.44651958087563,126.26255362293364,-0.7840847087897203,-2.775700168586667
Pacific,2019,88.22270145200419,54.68728259615829,126.26255362293364,-0.8032590350832436,0.24076301528265986
South Atlantic,2005,83.13199996568127,50.87740789037885,116.77174237384104,0.08313193378381191,0.0508773673865781
South Atlantic,2006,83.84629278231442,49.558744940081986,116.77174237384104,0.5660133433197916,-1.045080022127464
South Atlantic,2007,83.59888550660278,51.0417767705337,116.77174237384104,-0.6830342812571272,2.287247103227461
South Atlantic,2008,84.43642707750377,49.141218253329825,116.77174237384104,0.9884282775181106,-2.805017725453048
South Atlantic,2009,83.46373710489893,48.90815791051851,116.77174237384104,-1.4834829107861651,0.9260365938861668
South Atlantic,2010,84.07697004804501,50.34692517493512,115.4065589494856,1.206449072719053,1.5809041820505314
South Atlantic,2011,79.49758015915238,53.069816423290895,115.4065589494856,-4.953383333160971,1.8454277481740462
South Atlantic,2012,80.12624682008602,51.142716390376734,115.4065589494856,3.4215071570884135,-3.58771446617709
South Atlantic,2013,80.23569368675784,50.470577414883806,115.4065589494856,-0.273959165973821,0.5031448816685185
South Atlantic,2014,84.01558825373355,50.536141501288355,115.4065589494856,3.7131460155672187,0.4754826553287117
South Atlantic,2015,85.74618815220491,50.789094614466485,116.76612526731672,-0.5746509917073723,0.21296742948516112
South Atlantic,2016,86.10984602528497,51.39147816593316,116.76612526731672,-0.6917861044714755,0.448114595284153
South Atlantic,2017,85.76482241805401,51.73826214609207,116.76612526731672,-0.5668082683594946,-0.02059272668893186
South Atlantic,2018,85.72958331325043,50.86028031834125,116.76612526731672,0.1751810441208903,-1.0894755783822418
South Atlantic,2019,85.62915004688696,51.175858443141976,116.76612526731672,-0.0789419320740734,0.8510344329386186
