Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,College graduate,Education Attained,514,93.6,91.2,96,183,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA4,CAT5,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,H.S. or G.E.D.,Education Attained,143,19.1,15.4,22.8,185,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA2,CAT5,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,H.S. or G.E.D.,Education Attained,607,80.9,77.2,84.6,181,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA2,CAT5,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Less than H.S.,Education Attained,91,25.4,19.9,30.9,184,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA1,CAT5,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Less than H.S.,Education Attained,303,74.6,69.1,80.1,180,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA1,CAT5,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Some post-H.S.,Education Attained,76,15,11.4,18.6,186,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA3,CAT5,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Some post-H.S.,Education Attained,465,85,81.4,88.6,182,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA3,CAT5,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$15,000-$24,999",Household Income,105,30.8,24.7,36.9,194,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME2,CAT6,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$15,000-$24,999",Household Income,287,69.2,63.1,75.3,189,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME2,CAT6,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$25,000-$34,999",Household Income,52,17,12.2,21.8,195,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME3,CAT6,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$25,000-$34,999",Household Income,293,83,78.2,87.8,190,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME3,CAT6,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$35,000-$49,999",Household Income,32,11.1,7.1,15.1,196,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME4,CAT6,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$35,000-$49,999",Household Income,313,88.9,84.9,92.9,191,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME4,CAT6,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$50,000+",Household Income,21,4.1,2,6.2,197,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME5,CAT6,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$50,000+",Household Income,528,95.9,93.8,98,192,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME5,CAT6,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"Less than $15,000",Household Income,103,27.6,22,33.2,193,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME1,CAT6,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Less than $15,000",Household Income,253,72.4,66.8,78,188,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,INCOME1,CAT6,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,345,16.1,14.2,18,155,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,BO1,CAT1,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,1893,83.9,82,85.8,154,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,BO1,CAT1,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"Black, non-Hispanic",Race/Ethnicity,115,25.2,20,30.4,177,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,RACE2,CAT4,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Black, non-Hispanic",Race/Ethnicity,383,74.8,69.6,80,173,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,RACE2,CAT4,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Hispanic,Race/Ethnicity,11,NA,NA,NA,178,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,1,RACE3,CAT4,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Hispanic,Race/Ethnicity,37,NA,NA,NA,174,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,1,RACE3,CAT4,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"Other, non-Hispanic",Race/Ethnicity,10,NA,NA,NA,179,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,1,RACE4,CAT4,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Other, non-Hispanic",Race/Ethnicity,38,NA,NA,NA,175,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,1,RACE4,CAT4,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
