year,census_region,sex,age5,population
2007,West,Female,85+,675432
2007,West,Male,0-4,2527997
2007,West,Male,10-14,2558283
2007,West,Male,15-19,2687555
2007,West,Male,20-24,2632058
2007,West,Male,25-29,2600991
2007,West,Male,30-34,2387575
2007,West,Male,35-39,2520982
2007,West,Male,40-44,2493693
2007,West,Male,45-49,2548589
2007,West,Male,5-9,2383200
2007,West,Male,50-54,2339876
2007,West,Male,55-59,2011170
2007,West,Male,60-64,1553193
2007,West,Male,65-69,1110825
2007,West,Male,70-74,843987
2007,West,Male,75-79,669456
2007,West,Male,80-84,471655
2007,West,Male,85+,356014
2008,North Central,Female,0-4,2131267
2008,North Central,Female,10-14,2230133
2008,North Central,Female,15-19,2384252
2008,North Central,Female,20-24,2246482
2008,North Central,Female,25-29,2189268
2008,North Central,Female,30-34,2018043
2008,North Central,Female,35-39,2182658
2008,North Central,Female,40-44,2288418
2008,North Central,Female,45-49,2559631
2008,North Central,Female,5-9,2155365
2008,North Central,Female,50-54,2477183
2008,North Central,Female,55-59,2154583
2008,North Central,Female,60-64,1721118
2008,North Central,Female,65-69,1343522
2008,North Central,Female,70-74,1074818
2008,North Central,Female,75-79,955106
2008,North Central,Female,80-84,817737
2008,North Central,Female,85+,873469
2008,North Central,Male,0-4,2225461
2008,North Central,Male,10-14,2339584
2008,North Central,Male,15-19,2513306
2008,North Central,Male,20-24,2326691
2008,North Central,Male,25-29,2220298
2008,North Central,Male,30-34,2039572
2008,North Central,Male,35-39,2190695
2008,North Central,Male,40-44,2273917
2008,North Central,Male,45-49,2510602
2008,North Central,Male,5-9,2252885
2008,North Central,Male,50-54,2413915
2008,North Central,Male,55-59,2075359
2008,North Central,Male,60-64,1614405
2008,North Central,Male,65-69,1198522
2008,North Central,Male,70-74,894793
2008,North Central,Male,75-79,713087
2008,North Central,Male,80-84,527518
2008,North Central,Male,85+,390272
2008,Northeast,Female,0-4,1586401
2008,Northeast,Female,10-14,1742174
2008,Northeast,Female,15-19,1930948
2008,Northeast,Female,20-24,1821887
2008,Northeast,Female,25-29,1790084
2008,Northeast,Female,30-34,1682865
2008,Northeast,Female,35-39,1886900
2008,Northeast,Female,40-44,2063660
2008,Northeast,Female,45-49,2205291
2008,Northeast,Female,5-9,1624223
2008,Northeast,Female,50-54,2092263
2008,Northeast,Female,55-59,1827986
2008,Northeast,Female,60-64,1511356
2008,Northeast,Female,65-69,1155385
2008,Northeast,Female,70-74,927288
2008,Northeast,Female,75-79,846668
2008,Northeast,Female,80-84,745074
2008,Northeast,Female,85+,791186
2008,Northeast,Male,0-4,1658386
2008,Northeast,Male,10-14,1825598
2008,Northeast,Male,15-19,2028880
2008,Northeast,Male,20-24,1875591
2008,Northeast,Male,25-29,1772507
2008,Northeast,Male,30-34,1645588
2008,Northeast,Male,35-39,1825377
2008,Northeast,Male,40-44,1985878
2008,Northeast,Male,45-49,2111776
2008,Northeast,Male,5-9,1697689
2008,Northeast,Male,50-54,1990232
2008,Northeast,Male,55-59,1699114
2008,Northeast,Male,60-64,1365278
2008,Northeast,Male,65-69,993377
2008,Northeast,Male,70-74,743059
2008,Northeast,Male,75-79,612841
2008,Northeast,Male,80-84,460988
2008,Northeast,Male,85+,352128
2008,South,Female,0-4,3755914
2008,South,Female,10-14,3712723
2008,South,Female,15-19,3943000
2008,South,Female,20-24,3834281
2008,South,Female,25-29,3874861
2008,South,Female,30-34,3601694
2008,South,Female,35-39,3919659
2008,South,Female,40-44,3985002
2008,South,Female,45-49,4228586
2008,South,Female,5-9,3653164
2008,South,Female,50-54,4013730
2008,South,Female,55-59,3558771
2008,South,Female,60-64,3002963
2008,South,Female,65-69,2348223
2008,South,Female,70-74,1850773
2008,South,Female,75-79,1539117
2008,South,Female,80-84,1221618
2008,South,Female,85+,1168451
2008,South,Male,0-4,3917632
2008,South,Male,10-14,3891950
2008,South,Male,15-19,4149412
2008,South,Male,20-24,3989610
2008,South,Male,25-29,3860481
2008,South,Male,30-34,3577180
2008,South,Male,35-39,3851885
2008,South,Male,40-44,3893948
2008,South,Male,45-49,4086674
2008,South,Male,5-9,3807520
2008,South,Male,50-54,3800662
2008,South,Male,55-59,3279887
2008,South,Male,60-64,2743107
2008,South,Male,65-69,2074954
2008,South,Male,70-74,1546172
2008,South,Male,75-79,1167478
2008,South,Male,80-84,786871
2008,South,Male,85+,546977
2008,West,Female,0-4,2440601
2008,West,Female,10-14,2423444
2008,West,Female,15-19,2546948
2008,West,Female,20-24,2436916
2008,West,Female,25-29,2539319
2008,West,Female,30-34,2323277
2008,West,Female,35-39,2448592
2008,West,Female,40-44,2420844
2008,West,Female,45-49,2563475
2008,West,Female,5-9,2315736
2008,West,Female,50-54,2457377
2008,West,Female,55-59,2160898
2008,West,Female,60-64,1744088
2008,West,Female,65-69,1300778
2008,West,Female,70-74,1003457
2008,West,Female,75-79,837606
2008,West,Female,80-84,693517
2008,West,Female,85+,699920
2008,West,Male,0-4,2555465
2008,West,Male,10-14,2541049
2008,West,Male,15-19,2714134
2008,West,Male,20-24,2649154
2008,West,Male,25-29,2655850
2008,West,Male,30-34,2416586
2008,West,Male,35-39,2511697
2008,West,Male,40-44,2463356
2008,West,Male,45-49,2554938
2008,West,Male,5-9,2423020
2008,West,Male,50-54,2394112
2008,West,Male,55-59,2057970
2008,West,Male,60-64,1640180
2008,West,Male,65-69,1179586
2008,West,Male,70-74,870972
2008,West,Male,75-79,673840
2008,West,Male,80-84,477036
2008,West,Male,85+,373437
